"dessert", "Mousse de ciocolată", "Un mousse de ciocolată bogat și cremos făcut cu ciocolată neagră și smântână batută"
"dessert", "Prajitura cu capsuni", "O prajitură clasică cu straturi de prajituri pufoase de vanilie, capsuni proaspete și smântână batută"
"dessert", "Cobbler cu piersici", "Un cobbler cald și dulce cu piersici coapte și un topping crocant de biscuiți"
"dessert", "Plăcintă cu mere și caramel", "Un aluat crocant de plăcintă plin cu felii de mere și un sos de caramel cremos"
"dessert", "Cheesecake", "O prajitură cremoasă și bogată cu brânză cu o crustă de biscuiți cu grâu"
"dessert", "Prajitură de Velvet Roșu", "O prajitură pufoasă și umedă de velvet roșu cu o glazură de brânză de vaci"
"dessert", "Biscuiți cu ciocolată", "Biscuiți pufoși și crocanți cu chipsuri de ciocolată semigrea"
"dessert", "Biscuiți cu unt de arahide", "Biscuiți pufoși și crocanți cu unt de arahide cremos"
"dessert", "Bare cu lămâie", "Un desert răcoritor cu o crustă unturoasă și o umplutură acidă de lămâie"
"dessert", "Brownies", "Brownies de ciocolată fudgy și bogate cu un top crocant"
