"normalMenu","Cheeseburger", "Grilled beef patty served on a toasted bun with cheddar cheese, lettuce, tomato, and pickles."
"normalMenu","Grilled Chicken Sandwich", "Grilled chicken breast served on a bun with lettuce, tomato, and mayonnaise."
"normalMenu","Pizza", "Classic pizza topped with tomato sauce, cheese, and a variety of meats and vegetables."
"normalMenu","Spaghetti and Meatballs", "Spaghetti noodles tossed with savory meatballs and marinara sauce."
"normalMenu","Fried Chicken", "Crispy fried chicken served with a side of mashed potatoes and gravy."
"normalMenu","BLT Sandwich", "A classic sandwich made with crispy bacon, lettuce, tomato, and mayonnaise on toasted bread."
"normalMenu","Grilled Cheese Sandwich", "Melted cheese between two slices of toasted bread."
"normalMenu","Taco Salad", "A hearty salad made with seasoned ground beef, beans, cheese, and a variety of toppings served in a crispy taco shell."
"normalMenu","Chicken Caesar Salad", "A classic Caesar salad topped with grilled chicken and croutons."
"normalMenu","Stir-Fry", "A variety of vegetables and protein stir-fried with a choice of sauce, served over rice."
