"soup","Tomato Soup", "A classic tomato soup made with ripe tomatoes, onions, and garlic"
"soup","Minestrone", "A hearty soup with a mix of vegetables, beans, and pasta in a tomato broth"
"soup","Lentil Soup", "A filling soup made with lentils, vegetables, and a blend of aromatic spices"
"soup","Black Bean Soup", "A flavorful soup made with black beans, corn, and peppers in a broth seasoned with cumin and chili powder"
"soup","Split Pea Soup", "A creamy soup made with split peas and a blend of vegetables"
"soup","Butternut Squash Soup", "A velvety soup made with roasted butternut squash, onions, and a hint of nutmeg"
"soup","Wild Mushroom Soup", "A rich and creamy soup made with a variety of wild mushrooms and herbs"
"soup","Cauliflower Soup", "A creamy soup made with roasted cauliflower and a hint of nutmeg"
"soup","Roasted Red Pepper Soup", "A creamy soup made with roasted red peppers, tomatoes, and onions"
"soup","Cabbage Soup", "A hearty soup made with cabbage, beans, and a blend of vegetables in a savory broth"
